comment,sexism,racism,violence,appearance,ability,non-offensive,is_labeled
3:31 How the hell could that only be a yellow card offence? That shit is borderline criminally biased refereeing.,0,0,0,0,0,1,True
"Me reí un poco pero ya en serio, mujeres como se atreven a deshonrar así este deporte?. Mejor vayan a dedicarse a otra cosa.",0,0,0,0,0,0,False
Kerr should be sent off for that,0,0,0,0,0,1,True
its amazign they find a way from lockers to pitch... really astonishing achievement,1,0,0,0,1,0,True
Kazadi female Kanté,0,0,0,0,0,1,True
Ainda falta muito😂😂😂😂,0,0,0,0,0,0,False
"The very last clip, is that legal?",0,0,0,0,0,1,True
1:18 vienetta Jones 😂,0,0,0,0,0,1,True
I love Women's Football.😁😆,0,0,0,0,0,1,True
3:42 And that's the reason why male warriors (usally) don't wear long hair. 3:53 Muslims. So ridiculous...,0,0,0,0,0,0,False
I can't think of a reason to why we don't pay them the same as the male professionals. Curios...,1,0,0,0,1,0,True
3:42 And that's the reason why male warriors (usally) don't wear long hair. 3:53 Muslims. So ridiculous...,1,1,0,1,0,0,True
I can't think of a reason to why we don't pay them the same as the male professionals. Curios...,1,0,0,0,1,0,True
"SHE CAUGHT THE BALL ON OPEN PLAY, NO PENALTY?! WTF",0,0,0,0,0,1,True
Thats sexism. So much moments just are normaly and happen any gender wtf,0,0,0,0,0,0,False
Le charme du foot féminin c'est qu'il est plein de surprises. 😂,0,0,0,0,0,0,False
You mean soccer players,0,0,0,0,0,0,False
Neymar can only beat women anyway!!! Average Brazilian talent,0,0,0,0,0,1,True
Out play them all 👀🔥,0,0,0,0,0,1,True
Prime neymar 🫡,0,0,0,0,0,1,True
"That is not 11 a side football.
Small pitch.
Small goals.
Disingenuous video.
Yes he ran all over them. But the men vs. women videos and commentary need to start telling the truth.",0,0,0,0,0,1,True
First clip: GYATTTTTTTTTTT!!!!!!!,1,0,0,1,0,0,True
"If I was there, it would be a game with 3 balls for those women.",1,0,1,0,0,0,True
How many times did he dive?,0,0,0,0,0,1,True
“You never would have expected what happened next” I miss non Ai commentators,0,0,0,0,0,1,True
cheeks!!,1,0,0,1,0,0,True
"Neymar showed respect,, thats it..otherwise they would be toyed forsure.",0,0,0,0,0,1,True
They lost 2-1,0,0,0,0,0,1,True
Equal pay !!,0,0,0,0,0,1,True
Neymar didn’t even try. Watch the match. This video is dumb.,0,0,0,0,0,1,True
That's why they must have different bathrooms.,0,0,0,0,0,0,False
fake ! he was playing with other female 5vs5,0,0,0,0,0,1,True
"LW            CR7                           RW
NEYMAR                              MESSI

CM                                             CM
ZIZOU            CDM           MODRIC
                   GATTUSO


LB          CB                CB         RB
R.C      Maldini    S.Ramos   Cafu
                           GK
                        Yashin


U DECIDE THE BENCH",0,0,0,0,0,1,True
"Probably because he wasnt being physical at all, its just the instinct of a good man to do that",1,0,0,0,0,0,True
He was just trolling,0,0,0,0,0,1,True
Neymar  team😂,0,0,0,0,0,1,True
Women lost any soccer games they played against men,1,0,0,0,1,0,True
Gender is all the same. Rheeeee!,1,0,0,0,0,0,True
Hi I mean hi,0,0,0,0,0,1,True
ladies first neymar said haha,0,0,0,0,0,1,True
"""10 female footballers"" ok who were they? A professional team? A casual team? So much misinformation",0,0,0,0,0,1,True
I dare you not to laugh...😮😐🥴🤭😝😝😝😝,0,0,0,0,0,1,True
in my place we call it chair legs,0,0,0,0,0,1,True
"Es gibt Dinge, die sollten Frauen absolut nicht tun, dazu gehört eindeutig Fußball !!!",1,0,0,0,1,0,True
"Yeah, they deserve to be paid the same as the men.........",1,0,0,0,1,0,True
🤔😤🤬,0,0,0,0,0,0,False
Nunez😂,0,0,0,0,0,1,True
"To be fair, some of the own goals were pretty good...",0,0,0,0,0,1,True
Not more than clown & circus,1,0,0,0,1,0,True
"the americans playing football ""soccer"" as they call it is so funny, no clue, absolutely no clue :)))",0,1,0,0,1,0,True
That's GOLD Jerry -- absolute gold !,0,0,0,0,0,1,True
I watched a couple of mins of this and got bored.  Its the same as the compilations vids of male football - I never saw anything here that you don't get in the male game too,0,0,0,0,0,1,True
And what's wrong with *NETBALL* like the old days.,0,0,0,0,0,1,True
It's like watching 8 year old boys.,1,0,0,0,1,0,True
and they want equal pay lol,1,0,0,0,1,0,True
"Хорошо, что есть женский футбол 😅.",0,0,0,0,0,1,True
"If you really pay attention, it almost looks as if they're trying to play football.",1,0,0,0,1,0,True
sad,0,0,0,0,0,1,True
"Makes me laugh when they call them  ‘legends’, yeah right.",0,0,0,0,0,1,True
"In defence of women’s football, there’s some equally awful play in the men’s game",0,0,0,0,0,1,True
"It’s a man’s game , stick to rounders !!",1,0,0,0,1,0,True
"I'm pretty sure the commentators are not saying ""goooooool"". They are saying ""looooooooooool lool lool lool loooooooooool!""",0,0,0,0,0,1,True
Snopp Dogg is bored,0,0,0,0,0,1,True
women drive better than hens,1,0,0,0,0,0,True
Profesyonel Layds so beautiful best shpilerin 🌸✨💖💖⚽🏃🏽,0,0,0,0,0,1,True
Very good,0,0,0,0,0,0,False
মেসি ভক্তদের কে দেখতে চাই ❤❤,0,0,0,0,0,0,False
😮😮😮😛👍👍👍👍❤❤❤❤❤❤❤👌👌,0,0,0,0,0,1,True
Mesiii biết con cac gì mà cười,0,0,0,0,0,0,False
"Девочки играют лучше , чем российские футболисты",0,1,0,0,0,0,True
